N,Z,residual(keV)
19,19,-390.7599999999984
18,20,601.4969999999994
25,14,1090.3519999999999
24,15,75.36399999999958
23,16,437.32800000000134
22,17,909.7819999999992
21,18,1137.8050000000003
20,19,122.80464999999822
19,20,137.29300000000148
18,21,1017.2739999999994
26,14,816.8760000000002
25,15,-139.1890000000003
24,16,442.15000000000146
23,17,222.1820000000007
22,18,1860.1000300000014
21,19,1014.502999999997
20,20,573.5979999999981
19,21,856.6470000000008
18,22,1726.5609999999997
26,15,130.23300000000017
25,16,-208.58000000000175
24,17,992.8080000000009
23,18,1472.489999999998
22,19,1920.4512000000032
21,20,1202.091999999997
20,21,947.6399999999994
19,22,1532.4609999999993
27,15,161.8420000000001
26,16,-147.7479999999996
25,17,248.22999999999956
24,18,1887.3220000000001
23,19,1777.9689999999973
22,20,2342.707000000002
21,21,688.9969999999994
20,22,1855.6470000000008
27,16,-115.46099999999933
26,17,-189.5099999999984
25,18,840.1889999999985
24,19,1914.6059999999998
23,20,2151.1270000000004
22,21,2251.8499999999985
21,22,1874.4089999999997
20,23,1563.6419999999998
28,16,215.7639999999992
27,17,-748.9730000000018
26,18,676.7400000000016
25,19,1228.5020000000004
24,20,2321.269999999997
23,21,1913.9649999999965
22,22,1431.413999999997
21,23,1501.9209999999985
20,24,1618.1010000000006
28,17,-402.5440000000017
27,18,79.19900000000052
26,19,1174.3570000000036
25,20,1837.7699999999968
24,21,2357.6789999999964
23,22,1639.7339999999967
22,23,1563.559000000001
21,24,1645.1990000000005
29,17,-1174.9490000000005
28,18,-721.255000000001
27,19,-193.92899999999645
26,20,1720.3899999999994
25,21,1628.3570000000036
24,22,1091.7309999999998
23,23,-285.8969999999972
22,24,928.4300000000003
21,25,1202.2520000000004
29,18,-1567.2740000000013
28,19,-641.9820000000036
27,20,325.3349999999991
26,21,1703.158000000003
25,22,1482.387999999999
24,23,912.9300000000003
23,24,596.9069999999992
22,25,1113.6239999999998
30,18,-1364.9269999999997
29,19,-1134.482
28,20,-514.8680000000022
27,21,645.9170000000013
26,22,1647.0480000000025
25,23,401.9950000000026
24,24,468.6869999999981
23,25,113.35599999999977
22,26,1281.4249999999993
30,19,-1151.4959999999992
29,20,-1380.002999999997
28,21,-142.44700000000012
27,22,1105.9879999999976
26,23,1077.8430000000008
25,24,217.64800000000105
24,25,290.0749999999971
23,26,729.2700000000004
31,19,-2577.852999999999
30,20,-1059.2300000000032
29,21,-677.1200000000026
28,22,808.1330000000016
27,23,716.760000000002
26,24,718.6359999999986
25,25,-466.8859999999986
24,26,573.5400000000009
23,27,790.5970000000016
32,19,-2995.4569999999985
31,20,-2972.3099999999977
30,21,-480.3530000000028
29,22,157.0350000000035
28,23,696.8949999999968
27,24,809.2850000000035
26,25,26.775000000001455
25,26,-179.18499999999767
24,27,1067.8539999999994
33,19,-3557.6280000000006
32,20,-3266.271999999997
31,21,-1713.5599999999977
30,22,622.3020000000033
29,23,376.96800000000076
28,24,1050.4919999999984
27,25,108.61299999999756
26,26,347.90499999999884
25,27,296.02100000000064
24,28,1080.1440000000002
34,19,-2535.7219999999998
33,20,-4567.7069999999985
32,21,-2259.5550000000003
31,22,-451.43299999999726
30,23,128.3249999999971
29,24,412.3819999999978
28,25,769.6500000000015
27,26,362.5169999999998
26,27,680.6240000000034
25,28,719.1729999999989
34,20,-3040.5869999999995
33,21,-2987.934000000001
32,22,-223.81199999999808
31,23,-458.2669999999998
30,24,-105.37900000000081
29,25,151.75299999999697
28,26,855.385000000002
27,27,9.932000000000698
26,28,961.6880000000019
35,20,-2940.375
34,21,-1882.1080000000002
33,22,-1242.4689999999973
32,23,-665.1359999999986
31,24,-570.3240000000005
30,25,-472.5420000000013
29,26,298.57800000000134
28,27,340.0040000000008
27,28,324.03899999999703
26,29,274.5970000000016
36,20,-1380.3899999999994
35,21,-1885.8480000000018
34,22,-562.9950000000026
33,23,-1103.400999999998
32,24,144.87200000000303
31,25,-271.66599999999744
30,26,-77.16300000000047
29,27,119.48200000000361
28,28,132.3510000000024
27,29,-189.73300000000017
36,21,-1139.6529999999984
35,22,-601.8479999999981
34,23,-655.0630000000019
33,24,-184.98500000000058
32,25,-216.27900000000227
31,26,-702.0169999999998
30,27,-45.658000000003085
29,28,-103.96100000000297
28,29,-369.01400000000285
37,21,-1059.5689999999995
36,22,812.3319999999985
35,23,-460.58400000000256
34,24,68.19200000000274
33,25,-457.5679999999993
32,26,-375.27100000000064
31,27,-157.29200000000128
30,28,261.1290000000008
29,29,-967.8510000000024
28,30,61.129000000000815
38,21,-179.54999999999927
36,23,319.38300000000163
35,24,4.069000000003143
34,25,-205.32800000000134
33,26,-584.9570000000022
32,27,-559.8380000000034
31,28,-86.83299999999872
30,29,-638.4539999999979
29,30,-705.6779999999999
38,22,1280.3019999999997
37,23,172.59799999999814
36,24,301.5
35,25,-497.94600000000355
34,26,-233.17399999999907
33,27,-700.4369999999981
32,28,-143.2430000000022
31,29,-885.2620000000024
30,30,-1034.4700000000012
38,23,552.8790000000008
37,24,213.4979999999996
36,25,27.87000000000262
35,26,-280.502999999997
34,27,-578.1789999999964
33,28,-682.0290000000023
32,29,-1234.063000000002
31,30,-1118.9060000000027
30,31,-1234.6619999999966
39,23,516.8359999999993
38,24,347.38900000000285
37,25,-323.9649999999965
36,26,141.9429999999993
35,27,-294.3989999999976
34,28,-796.4400000000023
33,29,-1207.5429999999978
32,30,-1368.0880000000034
31,31,-1937.0219999999972
40,23,889.8590000000004
39,24,291.70100000000093
38,25,102.93899999999849
37,26,124.37099999999919
36,27,-111.55299999999988
35,28,-582.890999999996
34,29,-1299.8680000000022
33,30,-763.4289999999964
32,31,-1067.0999999999985
31,32,-931.2209999999977
40,24,710.0219999999972
39,25,220.95999999999913
38,26,660.4479999999967
37,27,-112.44200000000274
36,28,-249.03399999999965
