N,Z,residual(keV)
25,14,-249.64800000000014
24,15,965.3639999999996
23,16,-162.67199999999866
22,17,69.78199999999924
21,18,-42.19499999999971
20,19,262.8046499999982
19,20,-152.70699999999852
18,21,-302.72600000000057
26,14,1166.8760000000002
25,15,-389.1890000000003
24,16,472.15000000000146
23,17,-107.8179999999993
22,18,580.1000300000014
21,19,-405.497000000003
20,20,13.597999999998137
19,21,-803.3529999999992
18,22,36.560999999999694
26,15,1220.2330000000002
25,16,-448.58000000000175
24,17,982.8080000000009
23,18,142.48999999999796
22,19,590.4512000000032
21,20,162.09199999999691
20,21,217.63999999999942
19,22,252.46099999999933
27,15,1111.842
26,16,-407.7479999999996
25,17,-351.77000000000044
24,18,1327.3220000000001
23,19,-32.03100000000268
22,20,1002.7070000000022
21,21,178.99699999999575
20,22,-874.3529999999992
27,16,-235.46099999999933
26,17,300.4900000000016
25,18,-499.8110000000015
24,19,934.6059999999998
23,20,-278.8729999999996
22,21,1501.8499999999985
21,22,1234.4089999999997
20,23,303.6419999999998
28,16,-194.2360000000008
27,17,-258.9730000000018
26,18,86.73999999999796
25,19,-1.4979999999995925
24,20,721.2699999999968
23,21,173.9649999999965
22,22,1111.413999999997
21,23,281.92099999999846
20,24,758.1010000000006
28,17,27.455999999998312
27,18,-340.8009999999995
26,19,604.3570000000036
25,20,117.7699999999968
24,21,677.6789999999964
23,22,689.7339999999967
22,23,1003.5590000000011
21,24,715.1990000000005
29,17,-414.9490000000005
28,18,-911.255000000001
27,19,-633.9289999999964
26,20,180.38999999999942
25,21,88.35700000000361
24,22,1681.7309999999998
23,23,-735.8969999999972
22,24,1408.4300000000003
21,25,182.2520000000004
29,18,-747.2740000000013
28,19,-651.9820000000036
27,20,-594.6650000000009
26,21,293.1580000000031
25,22,-277.612000000001
24,23,672.9300000000003
23,24,306.90699999999924
22,25,-216.3760000000002
30,18,-594.9269999999997
29,19,-354.48199999999997
28,20,-704.8680000000022
27,21,-274.0829999999987
26,22,1167.0480000000025
25,23,-768.0049999999974
24,24,1228.686999999998
23,25,-926.6440000000002
22,26,1151.4249999999993
30,19,68.50400000000081
29,20,-1490.002999999997
28,21,-492.4470000000001
27,22,245.98799999999756
26,23,-22.156999999999243
25,24,-102.35199999999895
24,25,-109.92500000000291
23,26,-300.72999999999956
31,19,-807.8529999999992
30,20,-479.2300000000032
29,21,-237.12000000000262
28,22,-1.8669999999983702
27,23,-643.239999999998
26,24,1118.6359999999986
25,25,-616.8859999999986
24,26,903.5400000000009
23,27,-1089.4029999999984
32,19,-515.4569999999985
31,20,-2132.3099999999977
30,21,179.6469999999972
29,22,-52.96499999999651
28,23,-633.1050000000032
27,24,289.2850000000035
26,25,-93.22499999999854
25,26,-349.1849999999977
24,27,457.85399999999936
33,19,-917.6280000000024
32,20,-1376.2719999999972
31,21,-383.5599999999977
30,22,262.3020000000033
29,23,-383.03199999999924
28,24,370.49199999999837
27,25,-651.3870000000024
26,26,327.90499999999884
25,27,-1013.9789999999994
24,28,130.14400000000023
34,19,-165.72199999999975
33,20,-3117.7069999999985
32,21,-249.5550000000003
31,22,-211.43299999999726
30,23,-141.6750000000029
29,24,252.3819999999978
28,25,-640.3499999999985
27,26,-7.483000000000175
26,27,300.62400000000343
25,28,-840.8270000000011
34,20,-2510.5869999999995
33,21,-397.9340000000011
32,22,556.1880000000019
31,23,-528.2669999999998
30,24,174.62099999999919
29,25,-978.247000000003
28,26,135.38500000000204
27,27,-1160.0679999999993
26,28,-288.3119999999981
35,20,-1530.375
34,21,577.8919999999998
33,22,27.531000000002678
32,23,104.8640000000014
31,24,29.675999999999476
30,25,-792.5420000000013
29,26,-321.42199999999866
28,27,-859.9959999999992
27,28,-855.961000000003
26,29,-395.4029999999984
36,20,-950.3899999999994
35,21,254.15199999999822
34,22,1247.0049999999974
33,23,-153.40099999999802
32,24,904.872000000003
31,25,-1041.6659999999974
30,26,-317.16300000000047
29,27,-950.5179999999964
28,28,-1207.6489999999976
27,29,-1019.7330000000002
36,21,1280.3470000000016
35,22,548.1520000000019
34,23,404.9369999999981
33,24,955.0149999999994
32,25,-356.27900000000227
31,26,-682.0169999999998
30,27,-945.6580000000031
29,28,-533.961000000003
28,29,-749.0140000000029
37,21,750.4310000000005
36,22,2122.3319999999985
35,23,-50.58400000000256
34,24,1278.1920000000027
33,25,-547.5679999999993
32,26,-295.27100000000064
31,27,-1227.2920000000013
30,28,-398.8709999999992
29,29,-727.8510000000024
28,30,-468.8709999999992
38,21,1980.4500000000007
36,23,869.3830000000016
35,24,1114.0690000000031
34,25,74.67199999999866
33,26,-234.95700000000215
32,27,-669.8380000000034
31,28,-926.8329999999987
30,29,-218.4539999999979
29,30,-55.677999999999884
38,22,2260.3019999999997
37,23,652.5979999999981
36,24,1321.5
35,25,-307.94600000000355
34,26,246.82600000000093
33,27,-940.4369999999981
32,28,-783.2430000000022
31,29,-885.2620000000024
30,30,-54.470000000001164
38,23,962.8790000000008
37,24,1223.4979999999996
36,25,637.8700000000026
35,26,119.49700000000303
34,27,-368.17899999999645
33,28,-732.0290000000023
32,29,-564.0630000000019
31,30,91.09399999999732
30,31,-134.66199999999662
39,23,366.83599999999933
38,24,1117.3890000000029
37,25,236.0350000000035
36,26,621.9429999999993
35,27,-884.3989999999976
34,28,-686.4400000000023
33,29,-907.5429999999978
32,30,81.91199999999662
31,31,-1467.0219999999972
40,23,779.8590000000004
39,24,821.7010000000009
38,25,892.9389999999985
37,26,584.3709999999992
36,27,-21.552999999999884
35,28,-682.8910000000033
34,29,-479.8680000000095
33,30,-213.42899999999645
32,31,-127.09999999999854
31,32,238.77900000000227
40,24,1150.0219999999972
39,25,740.9599999999991
38,26,610.4479999999967
37,27,-212.44200000000274
36,28,-149.03399999999965
35,29,-984.4179999999978
34,30,-224.0179999999964
