Z,A,Mass-Excess (MeV)
8,16,-4.07
8,17,-0.67
9,17,2.45
8,18,-1.38
9,18,0.14
10,18,4.99
8,19,2.65
9,19,-2.21
10,19,1.04
11,19,13.13
8,20,2.63
9,20,0.19
10,20,-6.39
11,20,7.27
12,20,16.93
8,21,8.14
9,21,-1.06
10,21,-5.08
11,21,-1.28
12,21,9.82
13,21,27.48
8,22,9.13
9,22,2.74
10,22,-7.85
11,22,-4.87
12,22,-0.09
13,22,18.39
14,22,32.9
8,23,15.49
9,23,2.82
10,23,-4.9
11,23,-8.97
12,23,-5.01
13,23,7.54
14,23,22.86
15,23,45.21
8,24,20.24
9,24,7.59
10,24,-6.37
11,24,-7.39
12,24,-13.47
13,24,1.03
14,24,10.58
15,24,33.29
16,24,55.03
8,25,28.82
9,25,11.59
10,25,-2.21
11,25,-9.87
12,25,-12.81
13,25,-8.37
14,25,3.05
15,25,20.28
16,25,42.32
17,25,70.44
8,26,35.65
9,26,18.39
10,26,0.02
11,26,-7.22
12,26,-16.5
13,26,-12.02
14,26,-7.43
15,26,11.01
16,26,27.61
17,26,55.65
8,27,45.71
9,27,24.52
10,27,6.29
11,27,-6.01
12,27,-14.74
13,27,-16.81
14,27,-12.19
15,27,-0.43
16,27,17.3
17,27,40.24
18,27,67.44
8,28,53.47
9,28,32.66
10,28,10.51
11,28,-1.35
12,28,-15.1
13,28,-16.48
14,28,-20.78
15,28,-6.78
16,28,4.38
17,28,28.08
18,28,50.18
8,29,63.83
9,29,39.8
10,29,18.18
11,29,1.97
12,29,-11.19
13,29,-18.06
14,29,-21.54
15,29,-16.48
16,29,-3.22
17,29,14.32
18,29,37.08
19,29,65.03
20,29,96.39
8,30,71.59
9,30,48.56
10,30,23.34
11,30,7.95
12,30,-9.51
13,30,-15.62
14,30,-24.52
15,30,-20.88
16,30,-14.21
17,30,5.08
18,30,21.73
19,30,50.0
20,30,76.52
8,31,81.69
9,31,56.24
10,31,32.05
11,31,12.36
12,31,-4.16
13,31,-14.98
14,31,-22.98
15,31,-24.78
16,31,-19.54
17,31,-6.87
18,31,11.41
19,31,33.89
20,31,60.69
22,31,127.96
8,32,89.15
9,32,64.75
10,32,38.05
11,32,19.6
12,32,-1.44
13,32,-11.13
14,32,-23.78
15,32,-24.23
16,32,-26.95
17,32,-13.33
18,32,-1.9
19,32,21.88
20,32,42.93
21,32,75.63
22,32,106.16
8,33,100.74
9,33,72.31
10,33,46.68
11,33,25.26
12,33,5.5
13,33,-9.27
14,33,-20.67
15,33,-25.9
16,33,-27.16
17,33,-21.52
18,33,-9.24
19,33,7.75
20,33,30.01
21,33,57.44
22,33,88.19
8,34,107.51
9,34,82.18
10,34,52.6
11,34,32.44
12,34,9.68
13,34,-3.68
14,34,-20.27
15,34,-23.92
16,34,-29.91
17,34,-25.24
18,34,-18.42
19,34,-0.88
20,34,14.47
21,34,42.97
22,34,68.52
9,35,90.24
10,35,61.78
11,35,38.2
12,35,16.73
13,35,-0.03
14,35,-15.14
15,35,-24.31
16,35,-28.64
17,35,-29.0
18,35,-23.16
19,35,-10.81
20,35,5.02
21,35,26.87
22,35,53.47
24,35,117.12
9,36,98.49
10,36,68.19
11,36,45.94
12,36,21.04
13,36,5.7
14,36,-12.81
15,36,-20.5
16,36,-30.22
17,36,-28.77
18,36,-30.28
19,36,-16.71
20,36,-6.03
21,36,15.94
22,36,36.08
23,36,67.31
24,36,95.71
9,37,106.31
10,37,77.71
11,37,52.34
12,37,28.78
13,37,9.67
14,37,-7.37
15,37,-18.97
16,37,-27.12
17,37,-31.25
18,37,-30.88
19,37,-24.66
20,37,-12.86
21,37,4.11
22,37,24.31
23,37,49.5
24,37,78.72
26,37,148.62
9,38,116.19
10,38,83.1
11,38,60.41
12,38,33.76
13,38,16.1
14,38,-4.69
15,38,-14.89
16,38,-26.91
17,38,-29.34
18,38,-34.44
19,38,-28.58
20,38,-21.81
21,38,-4.03
22,38,11.2
23,38,36.2
24,38,59.63
26,38,125.58
9,39,127.08
10,39,94.27
11,39,66.88
12,39,41.24
13,39,20.88
14,39,1.58
15,39,-12.9
16,39,-23.44
17,39,-29.99
18,39,-33.31
19,39,-33.14
20,39,-26.73
21,39,-13.82
22,39,2.17
23,39,22.4
24,39,45.6
26,39,106.8
10,40,102.43
11,40,75.62
12,40,46.33
13,40,27.13
14,40,5.08
15,40,-8.04
16,40,-22.8
17,40,-27.72
18,40,-35.14
19,40,-33.08
20,40,-34.43
21,40,-19.91
22,40,-8.74
23,40,12.03
24,40,30.47
25,40,58.97
26,40,86.13
10,41,115.03
11,41,84.71
12,41,55.84
13,41,32.21
14,41,11.34
15,41,-5.14
16,41,-18.46
17,41,-27.82
18,41,-33.54
19,41,-35.83
20,41,-35.23
21,41,-28.47
22,41,-15.76
23,41,0.4
24,41,19.33
25,41,43.21
26,41,69.85
28,41,136.29
10,42,124.48
11,42,94.73
12,42,62.49
13,42,40.16
14,42,15.2
15,42,-0.3
16,42,-16.95
17,42,-24.72
18,42,-34.83
19,42,-35.3
20,42,-39.01
21,42,-32.31
22,42,-25.3
23,42,-7.81
24,42,6.54
25,42,30.68
26,42,52.7
28,42,114.25
10,43,138.21
11,43,105.15
12,43,73.35
13,43,47.33
14,43,22.32
15,43,3.06
16,43,-12.52
17,43,-23.85
18,43,-32.3
19,43,-37.37
20,43,-39.21
21,43,-36.99
22,43,-30.04
23,43,-18.1
24,43,-2.48
25,43,17.25
26,43,39.49
27,43,66.22
28,43,95.79
10,44,148.67
11,44,116.18
12,44,81.22
13,44,55.88
14,44,27.92
15,44,9.15
16,44,-10.56
17,44,-20.65
18,44,-32.65
19,44,-35.95
20,44,-42.32
21,44,-38.07
22,44,-37.58
23,44,-23.82
24,44,-13.77
25,44,7.01
26,44,24.86
27,44,51.61
28,44,76.72
11,45,127.67
12,45,93.16
13,45,64.36
14,45,36.97
15,45,14.68
16,45,-4.49
17,45,-19.2
18,45,-29.9
19,45,-36.96
20,45,-41.51
21,45,-41.94
22,45,-39.36
23,45,-32.07
24,45,-20.26
25,45,-4.94
26,45,13.91
27,45,36.45
28,45,61.54
11,46,139.46
12,46,101.99
13,46,73.89
14,46,43.18
15,46,22.52
16,46,-0.13
17,46,-14.17
18,46,-29.67
19,46,-35.3
20,46,-43.59
21,46,-42.05
22,46,-44.09
23,46,-36.66
24,46,-29.32
25,46,-12.45
26,46,0.93
27,46,24.28
28,46,45.16
11,47,151.74
12,47,114.76
13,47,83.42
14,47,53.31
15,47,29.34
16,47,7.12
17,47,-10.06
18,47,-24.84
19,47,-35.62
20,47,-42.42
21,47,-44.79
22,47,-44.8
23,47,-42.19
24,47,-34.71
25,47,-22.14
26,47,-7.26
27,47,10.74
28,47,32.41
12,48,124.32
13,48,93.71
14,48,60.49
15,48,37.57
16,48,12.65
17,48,-3.92
18,48,-21.84
19,48,-31.78
20,48,-43.8
21,48,-44.53
22,48,-48.43
23,48,-43.71
24,48,-42.89
25,48,-28.42
26,48,-17.8
27,48,1.53
28,48,17.82
29,48,45.59
12,49,137.7
13,49,104.05
14,49,71.48
15,49,45.4
16,49,21.42
17,49,1.39
18,49,-15.88
19,49,-29.17
20,49,-40.29
21,49,-46.46
22,49,-48.67
23,49,-48.04
24,49,-45.05
25,49,-37.25
26,49,-24.79
27,49,-9.54
28,49,8.03
29,49,30.6
30,49,57.18
12,50,147.78
13,50,114.9
14,50,79.42
15,50,54.36
16,50,27.34
17,50,8.93
18,50,-11.76
19,50,-24.26
20,50,-38.73
21,50,-43.92
22,50,-51.49
23,50,-49.09
24,50,-50.16
25,50,-42.03
26,50,-34.35
27,50,-17.43
28,50,-3.91
29,50,19.72
30,50,41.14
12,51,160.63
13,51,125.85
14,51,91.05
15,51,63.0
16,51,36.9
17,51,15.23
18,51,-4.88
19,51,-20.49
20,51,-34.12
21,51,-42.88
22,51,-49.42
23,51,-52.49
24,51,-51.74
25,51,-47.87
26,51,-39.88
27,51,-27.55
28,51,-12.41
29,51,7.27
30,51,29.7
32,51,85.35
12,52,171.74
13,52,137.07
14,52,99.56
15,52,72.52
16,52,43.53
17,52,22.97
18,52,0.16
19,52,-14.72
20,52,-31.45
21,52,-39.29
22,52,-49.37
23,52,-51.31
24,52,-55.94
25,52,-50.19
26,52,-48.19
27,52,-33.88
28,52,-23.28
29,52,-2.22
30,52,16.27
32,52,67.83
12,53,184.95
13,53,147.36
14,53,111.65
15,53,81.78
16,53,53.71
17,53,30.05
18,53,8.27
19,53,-9.99
20,53,-25.93
21,53,-37.08
22,53,-46.18
23,53,-51.84
24,53,-55.27
25,53,-55.02
26,53,-51.09
27,53,-42.78
28,53,-30.26
29,53,-13.65
30,53,6.17
31,53,29.16
32,53,54.73
12,54,196.27
13,54,159.11
14,54,120.36
15,54,91.68
16,54,60.87
17,54,38.32
18,54,13.54
19,54,-3.08
20,54,-22.35
21,54,-32.62
22,54,-45.01
23,54,-49.58
24,54,-56.71
25,54,-55.18
26,54,-56.63
27,54,-48.1
28,54,-39.83
29,54,-21.53
30,54,-6.14
31,54,18.03
32,54,39.79
13,55,170.73
14,55,132.42
15,55,101.2
16,55,71.5
17,55,46.01
18,55,22.25
19,55,2.45
20,55,-16.11
21,55,-29.46
22,55,-40.91
23,55,-48.93
24,55,-54.91
25,55,-57.26
26,55,-57.37
27,55,-54.31
28,55,-45.81
29,55,-31.7
30,55,-14.68
31,55,5.21
32,55,28.1
34,55,82.71
14,56,142.55
15,56,111.78
16,56,78.86
17,56,54.66
18,56,28.06
19,56,9.45
20,56,-11.78
21,56,-24.31
22,56,-38.81
23,56,-45.79
24,56,-55.2
25,56,-56.31
26,56,-60.27
27,56,-55.79
28,56,-54.32
29,56,-38.5
30,56,-25.64
31,56,-4.27
32,56,14.36
34,56,66.26
14,57,154.38
15,57,121.13
16,57,90.18
17,57,62.63
18,57,37.22
19,57,15.59
20,57,-4.51
21,57,-20.35
22,57,-33.97
23,57,-44.16
24,57,-52.46
25,57,-57.16
26,57,-59.83
27,57,-59.36
28,57,-56.42
29,57,-47.62
30,57,-33.11
31,57,-15.77
32,57,4.28
33,57,27.22
34,57,52.99
14,58,164.28
15,58,131.45
16,58,98.07
17,58,71.89
18,58,43.26
19,58,22.99
20,58,-0.06
21,58,-14.24
22,58,-31.11
23,58,-40.31
24,58,-51.8
25,58,-55.31
26,58,-61.54
27,58,-59.69
28,58,-60.72
29,58,-51.98
30,58,-42.94
31,58,-24.09
32,58,-8.05
33,58,16.17
34,58,37.81
14,59,176.25
15,59,141.39
16,59,108.49
17,59,80.43
18,59,53.08
19,59,29.45
20,59,7.68
21,59,-9.62
22,59,-25.67
23,59,-37.86
24,59,-48.29
25,59,-55.15
26,59,-60.13
27,59,-61.99
28,59,-61.6
29,59,-56.92
30,59,-47.93
31,59,-34.48
32,59,-16.99
33,59,3.34
34,59,26.22
36,59,80.5
14,60,186.28
15,60,151.85
16,60,116.93
17,60,89.5
18,60,59.63
19,60,37.43
20,60,12.41
21,60,-3.49
22,60,-22.2
23,60,-33.43
24,60,-46.84
25,60,-52.56
26,60,-60.86
27,60,-61.38
28,60,-64.67
29,60,-58.43
30,60,-55.06
31,60,-40.17
32,60,-28.11
33,60,-6.47
34,60,12.52
36,60,63.9
14,61,197.73
15,61,161.98
16,61,127.54
17,61,97.24
18,61,69.36
19,61,44.47
20,61,20.81
21,61,1.48
22,61,-15.88
23,61,-30.31
24,61,-42.72
25,61,-51.55
26,61,-58.65
27,61,-62.64
28,61,-64.54
29,61,-62.09
30,61,-57.12
31,61,-47.85
32,61,-34.4
33,61,-18.1
34,61,2.16
35,61,25.28
36,61,50.81
14,62,207.25
15,62,171.94
16,62,136.16
17,62,106.48
18,62,75.79
19,62,52.34
20,62,26.07
21,62,8.31
22,62,-12.48
23,62,-25.06
24,62,-40.62
25,62,-48.36
26,62,-58.56
27,62,-61.26
28,62,-66.59
29,62,-62.65
30,62,-61.44
31,62,-52.09
32,62,-42.71
33,62,-25.15
34,62,-10.25
35,62,14.01
36,62,35.76
14,63,218.55
15,63,181.63
16,63,146.34
17,63,115.15
18,63,85.12
19,63,59.36
20,63,34.46
21,63,13.98
22,63,-5.31
23,63,-21.52
24,63,-36.0
25,63,-46.65
26,63,-55.7
27,63,-61.63
28,63,-65.63
29,63,-65.24
30,63,-62.5
31,63,-57.06
32,63,-47.6
33,63,-33.97
34,63,-17.86
35,63,1.13
36,63,23.98
38,63,77.77
14,64,227.81
15,64,191.45
16,64,154.55
17,64,124.0
18,64,92.43
19,64,67.47
20,64,39.68
21,64,20.77
22,64,-1.18
23,64,-15.78
24,64,-33.5
25,64,-42.97
26,64,-54.92
27,64,-59.61
28,64,-66.82
29,64,-65.01
30,64,-65.8
31,64,-58.76
32,64,-54.68
33,64,-39.56
34,64,-27.36
35,64,-7.28
36,64,10.3
37,64,37.02
38,64,61.38
15,65,200.96
16,65,164.66
17,65,132.33
18,65,101.44
19,65,74.15
20,65,48.39
21,65,26.49
22,65,6.03
23,65,-11.37
24,65,-27.55
25,65,-40.82
26,65,-51.53
27,65,-59.25
28,65,-65.17
29,65,-66.7
30,65,-66.03
31,65,-62.66
32,65,-56.94
33,65,-47.2
34,65,-33.56
35,65,-17.26
36,65,1.37
37,65,22.92
38,65,48.22
15,66,212.71
16,66,172.71
17,66,141.11
18,66,108.44
19,66,81.94
20,66,53.88
21,66,33.56
22,66,10.19
23,66,-5.61
24,66,-24.54
25,66,-35.82
26,66,-50.32
27,66,-56.72
28,66,-65.65
29,66,-65.82
30,66,-68.47
31,66,-63.57
32,66,-61.49
33,66,-51.57
34,66,-41.83
35,66,-24.2
36,66,-9.35
37,66,13.15
38,66,33.28
15,67,225.2
16,67,185.0
17,67,149.36
18,67,117.45
19,67,89.02
20,67,61.78
21,67,39.65
22,67,17.78
23,67,-1.09
24,67,-18.47
25,67,-32.65
26,67,-45.88
27,67,-55.87
28,67,-63.43
29,67,-66.75
30,67,-68.0
31,67,-66.55
32,67,-62.91
33,67,-56.75
34,67,-46.83
35,67,-32.99
36,67,-16.84
37,67,1.98
38,67,23.02
39,67,47.01
40,67,74.5
16,68,196.19
17,68,160.47
18,68,124.39
19,68,96.83
20,68,67.65
21,68,46.51
22,68,22.26
23,68,5.01
24,68,-15.37
25,68,-27.91
26,68,-43.65
27,68,-52.28
28,68,-63.43
29,68,-65.33
30,68,-69.71
31,68,-66.8
32,68,-66.59
33,68,-58.81
34,68,-54.06
35,68,-38.68
36,68,-26.3
37,68,-6.3
38,68,11.08
39,68,35.87
40,68,58.32
17,69,171.98
18,69,135.86
19,69,103.92
20,69,75.63
21,69,51.87
22,69,29.73
23,69,9.95
24,69,-8.9
25,69,-24.57
26,69,-38.74
27,69,-50.34
28,69,-60.1
29,69,-65.74
30,69,-68.67
31,69,-69.0
32,69,-67.29
33,69,-63.07
34,69,-56.66
35,69,-46.46
36,69,-32.59
37,69,-16.25
38,69,2.28
39,69,23.51
40,69,46.74
18,70,146.1
19,70,114.22
20,70,81.53
21,70,58.81
22,70,34.07
23,70,15.91
24,70,-5.41
25,70,-19.45
26,70,-36.69
27,70,-46.31
28,70,-59.02
29,70,-63.23
30,70,-69.88
31,70,-68.7
32,70,-70.22
33,70,-64.44
34,70,-61.56
35,70,-51.09
36,70,-40.98
37,70,-23.25
38,70,-8.37
39,70,13.9
40,70,33.57
42,70,86.59
18,71,158.29
19,71,124.65
20,71,92.06
21,71,64.85
22,71,41.15
23,71,20.79
24,71,1.01
25,71,-15.65
26,71,-31.32
27,71,-44.13
28,71,-55.52
29,71,-62.52
30,71,-67.71
31,71,-70.36
32,71,-70.33
33,71,-67.9
34,71,-63.43
35,71,-56.61
36,71,-46.23
37,71,-32.16
38,71,-15.93
39,71,2.8
40,71,23.49
41,71,47.67
42,71,73.68
18,72,169.26
19,72,135.64
20,72,101.27
21,72,74.23
22,72,46.14
23,72,26.91
24,72,4.43
25,72,-10.61
26,72,-28.84
27,72,-40.0
28,72,-54.22
29,72,-59.85
30,72,-67.82
31,72,-68.94
32,72,-72.74
33,72,-68.7
34,72,-67.57
35,72,-59.1
36,72,-53.71
37,72,-38.07
38,72,-25.48
39,72,-5.5
40,72,11.65
41,72,36.74
42,72,59.3
18,73,182.08
19,73,146.79
20,73,112.48
21,73,83.49
22,73,55.62
23,73,31.43
24,73,11.09
25,73,-6.78
26,73,-23.46
27,73,-37.32
28,73,-49.93
29,73,-58.86
30,73,-65.43
31,73,-69.45
32,73,-71.69
33,73,-71.59
34,73,-68.81
35,73,-63.8
36,73,-56.73
37,73,-46.08
38,73,-31.96
39,73,-15.53
40,73,2.84
41,73,24.5
42,73,47.94
18,74,193.69
19,74,158.38
20,74,122.37
21,74,93.52
22,74,63.69
23,74,39.84
24,74,14.67
25,74,-1.52
26,74,-20.99
27,74,-33.19
28,74,-48.46
29,74,-55.45
30,74,-65.28
31,74,-67.83
32,74,-72.95
33,74,-71.24
34,74,-72.39
35,74,-65.68
36,74,-62.05
37,74,-51.04
38,74,-40.57
39,74,-22.7
40,74,-7.86
41,74,14.92
42,74,34.94
44,74,86.5
19,75,170.17
20,75,134.19
21,75,103.48
22,75,73.84
23,75,47.9
24,75,23.11
25,75,2.54
26,75,-15.31
27,75,-30.43
28,75,-44.11
29,75,-53.92
30,75,-62.4
31,75,-68.02
32,75,-71.65
33,75,-72.93
34,75,-72.44
35,75,-69.77
36,75,-64.42
37,75,-56.96
38,75,-46.13
39,75,-31.81
40,75,-15.56
41,75,3.79
42,75,24.91
43,75,48.56
44,75,73.91
20,76,144.69
21,76,114.08
22,76,82.58
23,76,56.94
24,76,30.07
25,76,10.0
26,76,-12.62
27,76,-26.04
28,76,-42.59
29,76,-50.75
30,76,-61.72
31,76,-65.93
32,76,-72.6
33,76,-72.34
34,76,-74.83
35,76,-70.47
36,76,-69.15
37,76,-59.92
38,76,-53.92
39,76,-38.01
40,76,-25.29
41,76,-4.62
42,76,13.09
43,76,37.75
44,76,59.77
20,77,157.03
21,77,124.66
22,77,93.31
23,77,65.69
24,77,39.16
25,77,16.41
26,77,-4.74
27,77,-22.98
28,77,-37.89
29,77,-49.08
30,77,-58.46
31,77,-65.54
32,77,-70.78
33,77,-73.66
34,77,-74.58
35,77,-73.32
36,77,-70.27
37,77,-65.19
38,77,-57.4
39,77,-46.31
40,77,-32.03
41,77,-14.79
42,77,4.2
43,77,25.55
44,77,48.56
20,78,168.06
21,78,135.76
22,78,102.64
23,78,75.28
24,78,46.78
25,78,24.47
26,78,0.68
27,78,-16.47
28,78,-36.1
29,78,-45.6
30,78,-57.94
31,78,-63.08
32,78,-71.17
33,78,-72.56
34,78,-76.61
35,78,-73.72
36,78,-73.76
37,78,-66.92
38,78,-63.26
39,78,-51.64
40,78,-40.91
41,78,-22.19
42,78,-6.6
43,78,15.94
44,78,35.65
46,78,86.66
20,79,180.84
21,79,146.87
22,79,113.87
23,79,84.64
24,79,56.44
25,79,32.04
26,79,8.74
27,79,-10.69
28,79,-29.26
29,79,-43.59
30,79,-54.29
31,79,-62.5
32,79,-69.2
33,79,-73.27
34,79,-75.81
35,79,-76.15
36,79,-74.54
37,79,-70.89
38,79,-65.44
39,79,-58.08
40,79,-46.81
41,79,-31.52
42,79,-14.49
43,79,4.74
44,79,25.62
45,79,49.17
46,79,74.29
20,80,192.32
21,80,158.39
22,80,123.73
23,80,94.72
24,80,64.64
25,80,40.64
26,80,15.26
27,80,-3.57
28,80,-24.84
29,80,-37.96
30,80,-53.46
31,80,-59.95
32,80,-69.41
33,80,-72.03
34,80,-77.24
35,80,-76.01
36,80,-77.63
37,80,-72.28
38,80,-70.01
39,80,-60.81
40,80,-55.03
41,80,-38.02
42,80,-24.4
43,80,-3.82
44,80,13.76
45,80,38.4
46,80,60.31
21,81,169.98
22,81,135.4
23,81,104.6
24,81,74.8
25,81,48.82
26,81,23.88
27,81,2.42
28,81,-17.35
29,81,-33.23
30,81,-47.58
31,81,-58.97
32,81,-66.76
33,81,-72.5
34,81,-76.24
35,81,-77.8
36,81,-77.81
37,81,-75.79
38,81,-71.8
39,81,-65.88
40,81,-58.24
41,81,-46.73
42,81,-31.41
43,81,-14.15
44,81,4.77
45,81,26.19
46,81,49.17
48,81,101.38
22,82,145.71
23,82,115.11
24,82,83.52
25,82,57.9
26,82,30.99
27,82,10.07
28,82,-12.29
29,82,-27.01
30,82,-44.06
31,82,-54.21
32,82,-66.85
33,82,-70.6
34,82,-77.43
35,82,-77.47
36,82,-80.26
37,82,-76.59
38,82,-75.91
39,82,-68.23
40,82,-63.86
41,82,-51.71
42,82,-40.64
43,82,-21.77
44,82,-6.16
45,82,16.51
46,82,36.29
48,82,86.37
21,83,193.84
22,83,157.76
23,83,125.47
24,83,94.12
25,83,66.61
26,83,40.11
27,83,17.11
28,83,-4.66
29,83,-21.61
30,83,-37.54
31,83,-50.49
32,83,-61.93
33,83,-70.62
34,83,-75.98
35,83,-78.95
36,83,-80.21
37,83,-79.42
38,83,-77.07
39,83,-72.8
40,83,-66.64
41,83,-57.86
42,83,-46.16
43,83,-31.43
44,83,-14.24
45,83,5.21
46,83,26.22
48,83,74.15
22,84,168.45
23,84,136.33
24,84,103.29
25,84,76.12
26,84,47.73
27,84,25.24
28,84,1.39
29,84,-14.85
30,84,-33.41
31,84,-45.14
32,84,-59.34
33,84,-66.73
34,84,-76.74
35,84,-78.18
36,84,-82.36
37,84,-79.98
38,84,-80.51
39,84,-74.53
40,84,-71.76
41,84,-61.17
42,84,-54.02
43,84,-37.52
44,84,-24.44
45,84,-3.5
46,84,14.3
47,84,38.69
48,84,60.29
21,85,218.34
22,85,180.82
23,85,147.1
24,85,114.28
25,85,85.31
26,85,57.3
27,85,32.82
28,85,9.52
29,85,-9.29
30,85,-26.32
31,85,-40.78
32,85,-53.79
33,85,-64.04
34,85,-72.78
35,85,-79.18
36,85,-81.81
37,85,-82.46
38,85,-81.38
39,85,-78.37
40,85,-73.87
41,85,-66.78
42,85,-57.79
43,85,-45.85
44,85,-31.03
45,85,-14.1
46,85,5.17
47,85,26.44
48,85,49.18
50,85,101.02
22,86,191.83
23,86,158.27
24,86,123.84
25,86,95.18
26,86,65.38
27,86,41.37
28,86,16.1
29,86,-2.08
30,86,-21.64
31,86,-34.91
32,86,-50.6
33,86,-59.58
34,86,-71.13
35,86,-75.95
36,86,-83.48
37,86,-82.54
38,86,-84.47
39,86,-79.82
40,86,-78.28
41,86,-69.44
42,86,-63.93
43,86,-51.31
44,86,-39.86
45,86,-21.28
46,86,-5.98
47,86,16.68
48,86,36.31
50,86,86.2
23,87,169.38
24,87,135.16
25,87,104.78
26,87,75.33
27,87,49.43
28,87,24.67
29,87,4.44
30,87,-14.45
31,87,-29.95
32,87,-44.49
33,87,-56.24
34,87,-66.55
35,87,-74.27
36,87,-80.72
37,87,-84.48
38,87,-84.81
39,87,-83.26
40,87,-80.06
41,87,-74.29
42,87,-67.01
43,87,-57.96
44,87,-45.83
45,87,-30.54
46,87,-13.62
47,87,5.17
48,87,26.17
49,87,49.45
50,87,74.08
22,88,215.75
23,88,180.8
24,88,145.06
25,88,114.97
26,88,83.81
27,88,58.35
28,88,31.71
29,88,12.08
30,88,-8.87
31,88,-23.62
32,88,-40.76
33,88,-51.26
34,88,-64.3
35,88,-70.7
36,88,-79.77
37,88,-82.38
38,88,-87.38
39,88,-84.19
40,88,-84.08
41,88,-76.63
42,88,-72.41
43,88,-61.55
44,88,-54.11
45,88,-37.06
46,88,-23.41
47,88,-3.08
48,88,14.09
49,88,38.67
50,88,60.28
23,89,192.22
24,89,156.65
25,89,124.94
26,89,94.1
27,89,66.84
28,89,40.67
29,89,19.08
30,89,-1.25
31,89,-18.54
32,89,-34.14
33,89,-47.34
34,89,-59.17
35,89,-68.38
36,89,-76.16
37,89,-81.72
38,89,-85.53
39,89,-87.06
40,89,-85.29
41,89,-81.05
42,89,-75.12
43,89,-67.42
44,89,-58.15
45,89,-45.79
46,89,-30.4
47,89,-13.26
48,89,5.44
49,89,26.28
50,89,49.17
24,90,166.85
25,90,135.4
26,90,102.94
27,90,76.09
28,90,48.12
29,90,27.09
30,90,4.79
31,90,-11.79
32,90,-29.92
33,90,-41.9
34,90,-56.37
35,90,-64.29
36,90,-74.84
37,90,-78.82
38,90,-85.54
39,90,-85.84
40,90,-88.75
41,90,-82.83
42,90,-80.09
43,90,-70.65
44,90,-64.53
45,90,-51.46
46,90,-39.62
47,90,-20.82
48,90,-5.29
49,90,17.0
50,90,36.19
23,91,215.5
24,91,178.66
25,91,145.68
26,91,113.52
27,91,84.96
28,91,57.44
29,91,34.52
30,91,12.81
31,91,-5.84
32,91,-23.24
33,91,-37.44
34,91,-50.73
35,91,-61.38
36,91,-70.67
37,91,-77.49
38,91,-83.1
39,91,-86.16
40,91,-87.8
41,91,-86.64
42,91,-82.21
43,91,-76.05
44,91,-68.16
45,91,-58.32
46,91,-45.78
47,91,-30.44
48,91,-13.28
49,91,5.92
50,91,26.54
24,92,189.1
25,92,156.37
26,92,122.67
27,92,94.49
28,92,65.25
29,92,42.86
30,92,19.27
31,92,1.28
32,92,-18.18
33,92,-31.59
34,92,-47.45
35,92,-56.83
36,92,-68.81
37,92,-74.29
38,92,-82.49
39,92,-84.36
40,92,-88.75
41,92,-86.27
42,92,-86.59
43,92,-78.7
44,92,-74.08
45,92,-62.45
46,92,-54.23
47,92,-37.13
48,92,-23.42
49,92,-2.66
50,92,14.89
24,93,201.1
25,93,166.92
26,93,133.5
27,93,103.69
28,93,74.87
29,93,50.67
30,93,27.64
31,93,7.67
32,93,-11.1
33,93,-27.02
34,93,-41.35
35,93,-53.39
36,93,-64.13
37,93,-72.38
38,93,-79.27
39,93,-84.03
40,93,-87.21
41,93,-87.54
42,93,-86.51
43,93,-83.46
44,93,-77.1
45,93,-68.82
46,93,-58.79
47,93,-46.01
48,93,-30.56
49,93,-13.17
50,93,5.92
24,94,211.77
25,94,177.78
26,94,142.91
27,94,113.46
28,94,83.01
29,94,59.31
30,94,34.46
31,94,15.12
32,94,-5.63
33,94,-20.8
34,94,-37.62
35,94,-48.42
36,94,-61.77
37,94,-68.71
38,94,-78.32
39,94,-81.5
40,94,-87.53
41,94,-86.59
42,94,-88.36
43,94,-83.91
44,94,-82.39
45,94,-72.35
46,94,-65.65
47,94,-52.14
48,94,-39.91
49,94,-20.86
50,94,-5.12
51,94,19.21
24,95,223.87
25,95,188.6
26,95,153.95
27,95,122.95
28,95,92.89
29,95,67.47
30,95,43.15
31,95,21.9
32,95,1.81
33,95,-15.42
34,95,-31.46
35,95,-44.48
36,95,-56.63
37,95,-66.26
38,95,-74.58
39,95,-80.56
40,95,-85.44
41,95,-87.21
42,95,-87.67
43,95,-86.1
44,95,-83.15
45,95,-78.05
46,95,-69.57
47,95,-59.47
48,95,-46.52
49,95,-30.62
50,95,-13.24
51,95,7.85
52,95,30.77
24,96,234.39
25,96,199.6
26,96,163.62
27,96,132.92
28,96,101.32
29,96,76.35
30,96,50.3
31,96,29.66
32,96,7.66
33,96,-8.85
34,96,-26.96
35,96,-39.13
36,96,-53.81
37,96,-62.16
38,96,-73.13
39,96,-77.75
40,96,-85.19
41,96,-85.73
42,96,-88.89
43,96,-85.96
44,96,-85.87
45,96,-79.3
46,96,-75.78
47,96,-63.87
48,96,-55.38
49,96,-37.73
50,96,-23.48
51,96,-0.8
52,96,18.88
24,97,246.54
25,97,210.34
26,97,174.85
27,97,142.7
28,97,111.43
29,97,84.82
30,97,59.26
31,97,36.8
32,97,15.42
33,97,-3.08
34,97,-20.44
35,97,-35.1
36,97,-48.24
37,97,-59.21
38,97,-68.93
39,97,-76.27
40,97,-82.38
41,97,-85.74
42,97,-87.64
43,97,-87.48
44,97,-86.0
45,97,-82.37
46,97,-77.35
47,97,-70.52
48,97,-60.19
