N,Z,residual(keV)
17,18,-226.78900000000067
16,19,-293.1930000000011
24,12,-390.64100000000326
23,13,572.7839999999997
22,14,317.27499999999964
21,15,156.45500000000175
20,16,-62.440999999998894
19,17,-680.6080000000002
18,18,134.45799999999872
17,19,-683.5820000000022
16,20,-392.66600000000017
25,12,-311.92199999999866
24,13,564.764000000001
23,14,865.8880000000008
22,15,-294.5119999999988
21,16,414.77400000000125
20,17,-333.85199999999895
19,18,251.4210000000021
18,19,290.49899999999616
17,20,-428.6700000000001
24,14,644.5010000000002
23,15,59.034999999999854
22,16,124.08399999999892
21,17,-299.31600000000253
20,18,407.2730000000083
19,19,417.34000000000015
18,20,442.39700000000084
25,14,1182.0519999999997
24,15,-51.13600000000042
23,16,272.32800000000134
22,17,129.1820000000007
21,18,527.2049999999945
20,19,138.20464999999967
19,20,323.1929999999993
18,21,162.5739999999987
26,14,885.9760000000006
25,15,-7.488999999999578
24,16,34.05000000000291
23,17,-43.3179999999993
22,18,508.8000299999985
21,19,158.30299999999988
20,20,549.398000000001
19,21,123.64700000000084
18,22,91.96099999999933
26,15,206.33299999999963
25,16,-224.9800000000032
24,17,170.8080000000009
23,18,461.6900000000023
22,19,535.7512000000061
21,20,341.3919999999998
20,21,327.6399999999994
19,22,316.96100000000115
27,15,764.2420000000001
26,16,-410.9480000000003
25,17,-222.27000000000044
24,18,282.0220000000045
23,19,257.9689999999973
22,20,577.3070000000007
21,21,687.796999999995
20,22,584.9470000000001
27,16,-77.2609999999986
26,17,-519.7099999999991
25,18,251.78900000000067
24,19,486.9060000000027
23,20,497.1270000000004
22,21,633.4499999999971
21,22,728.8089999999975
20,23,281.4419999999991
28,16,289.46399999999994
27,17,-552.0730000000003
26,18,-75.45999999999913
25,19,70.00200000000041
24,20,479.2699999999968
23,21,-68.63500000000204
22,22,378.8139999999985
21,23,-58.87900000000445
20,24,207.3010000000013
28,17,-147.74400000000242
27,18,-240.30099999999948
26,19,220.05700000000797
25,20,429.7699999999968
24,21,368.9789999999921
23,22,112.83399999999529
22,23,183.2589999999982
21,24,391.9989999999998
29,17,-622.2489999999998
28,18,-598.6550000000025
27,19,-317.12899999999354
26,20,377.48999999999796
25,21,45.35700000000361
24,22,-249.86899999999878
23,23,-250.29699999999866
22,24,-114.86999999999898
21,25,-79.64799999999923
29,18,-808.6740000000027
28,19,-418.28199999999924
27,20,-12.864999999997963
26,21,205.35800000000745
25,22,-327.21199999999953
24,23,-73.56999999999971
23,24,53.207000000002154
22,25,-306.275999999998
30,18,-221.82700000000114
29,19,-545.482
28,20,-407.26800000000367
27,21,-188.58299999999872
26,22,-150.4519999999975
25,23,-848.2049999999945
24,24,197.987000000001
23,25,-748.4439999999995
22,26,-230.875
30,19,88.60399999999936
29,20,-703.2029999999941
28,21,-409.6470000000045
27,22,-271.21199999999953
26,23,-126.0570000000007
25,24,-403.1519999999946
24,25,-287.7250000000058
23,26,-88.53000000000247
31,19,-372.35299999999916
30,20,86.66999999999825
29,21,-550.7200000000012
28,22,-385.56699999999546
27,23,-521.239999999998
26,24,-159.16399999999703
25,25,-317.3859999999986
24,26,5.440000000002328
23,27,-535.1029999999955
32,19,-13.257000000001426
31,20,-604.4099999999962
30,21,226.1469999999972
29,22,-547.6650000000009
28,23,-462.90499999999884
27,24,-161.41500000000087
26,25,-382.625
25,26,-213.08499999999185
24,27,-85.64600000000064
33,19,-548.9279999999999
